Symbol	Description
AQQRF.OB	Aquarius Surgical Technologies Inc
AQSZF.OB	Aequus Pharmaceuticals Inc
AQUEF.OB	Aquarius Engines A M Ltd
ARAAF.OB	Aclara Resources Inc
ARAFF.OB	Arafura Resources NL
ARAO.OB	Aurasource Inc
ARAT.OB	Arax Holdings Corp
ARBFF.OB	Arb Corp. Ltd
ARBKF.OB	Argo Blockchain Plc
ARBTF.OB	Argo Gold Inc
ARBV.OB	American Riviera Bancorp
ARCAY.OB	Arcadis NV
ARCVF.OB	Arcadis NV
ARCXF.OB	Arcelormittal South Africa
ARDNF.OB	Argent Minerals Ltd
ARDS.OB	Aridis Pharmaceuticals Inc
ARECW.OB	American Resources Corp WT
ARESF.OB	Artis Real Estate Investment Trust
ARET.OB	Arete Industries Inc
AREVF.OB	Arev Life Sciences Global Corp
ARGGY.OB	Aston Martin Lagonda Global ADR
ARGQ.OB	Argentum 47 Inc
ARGTF.OB	Artemis Gold Inc
ARGYF.OB	Avanti Helium Corp
ARHJS.OB	Rse Archive Llc
ARHTF.OB	Arht Media Inc
ARHVF.OB	Archer Ltd
ARIZF.OB	Affinity Metals Corp
ARKAF.OB	Arkema
ARKAY.OB	Arkema ADR
ARLSF.OB	Argo Living Soils Corp
ARLUF.OB	Aristocrat Leisure Ltd
ARMV.OB	Arma Svcs
ARNGF.OB	Argonaut Gold Ltd
ARREF.OB	Amerigo Resources Ltd
ARRJF.OB	Arjo Ab
ARRKF.OB	Arras Minerals Corp
ARRNF.OB	American Rare Earths Ltd
ARRPY.OB	Aeroports DE Paris Sa ADR
ARRRF.OB	Ardea Res Ltd
ARRXF.OB	Archer Materials Ltd
ARSC.OB	American Security Resources Corp
ARSLF.OB	Altima Resources Ltd
ARSMF.OB	Ares Strategic Mining Inc
ARSRF.OB	Aeris Resources Ltd
ARSSF.OB	Assura Plc
ARTH.OB	Arch Therapeutics Inc
ARTM.OB	American Nortel Communications Inc
ARTNB.OB	Artesian Resources Corp Cl B
ARTTF.OB	Artemis Resources Ltd West Perth WA
ARVY.OB	Alliance Recovery Corp
ARWYF.OB	Arway Corp
ARXRF.OB	Imagine Lithium Inc
ARYMF.OB	Argosy Minerals Limited
ARZGF.OB	Assicurazioni Generali Spa
ARZGY.OB	Assicurazioni Genera
ARZTY.OB	Aryzta Ag
ASAGF.OB	Australian Agricultu
ASAP.OB	Waitr Holdings Inc
ASAPF.OB	Aurora Spine Corp
ASAZF.OB	Assa Abloy Ser B SEK
ASAZY.OB	Assa Abloy Ab ADR
ASBFF.OB	Associated British Foods Plc
ASBFY.OB	Associated Brit Food ADR
ASBRF.OB	Asahi Breweries
ASCC.OB	Aristocrat Group
ASCCF.OB	Asics Corp
ASCCY.OB	Asics Corp
ASCJF.OB	Amsc ASA
ASCK.OB	Auscrete Corp
ASCLF.OB	Ascletis Pharma Inc
ASCN.OB	Absecon Bancorp
ASCS.OB	American Crystal Sugar Co.
ASCUF.OB	Arizona Sonoran Copper Company Inc
ASDRF.OB	Ascendant Resources Inc
ASDZF.OB	Arctic Star Exploration Corp
ASEJF.OB	Apt Satellite Hlds
ASEKY.OB	Aisin Corp
ASGLF.OB	Agc Inc
ASGLY.OB	Asahi Glass Ltd A
ASGOF.OB	Asante Gold Corp
ASGTF.OB	Altus Group Ltd
ASHI.OB	Asberry 22 Hldgs Inc
ASHTF.OB	Ashted Group Plc
ASHTY.OB	Ashtead Group Pl ADR
ASHXF.OB	Ashburton Ventures Inc
ASII.OB	Accredited Solutions Inc
ASKH.OB	Astika Holdings
ASLRF.OB	Alien Metals Ltd
ASMIY.OB	Asm International NV ADR
ASMLF.OB	Asml Hld NV Ord Shs
ASMMF.OB	Australian Strategic Materials Ltd
ASMVF.OB	Asmpt Ltd
ASMVY.OB	Asmpt Ltd
ASMXF.OB	Asm International N.V.
ASOMY.OB	Asos Plc
ASPD.OB	Aspen Digital Inc
ASPHF.OB	Ascentage Pharma Group
ASPR.OB	Adsouth Partners Inc
ASPT.OB	Haber Inc
ASPU.OB	Aspen Group Inc
ASPZ.OB	Asia Pptys Inc
ASRE.OB	Astra Energy Inc
ASRMF.OB	Grupo Aeroportuario Del Sureste S.A. DE C.V.
ASTA.OB	Astra Veda Corp
ASTVF.OB	Austevoll Seafood ASA
ASUUY.OB	Asustek Computer Inc
ASWRF.OB	Gungnir Resources Inc
ASXFF.OB	ASX Ltd
ASXFY.OB	ASX Ltd
ASXSF.OB	Elysee Development Corp
ATAO.OB	Altair International Corp
ATBHF.OB	Aston Bay Holdings Ltd
ATBPF.OB	Antibe Therapeutics Inc
ATCC.OB	Ameritrust Corp
ATCLF.OB	Advance Tc Ltd
ATCMF.OB	Atico Mining Corp
ATCUF.OB	Alta Copper Corp
ATDRY.OB	Auto Trader Group Plc
ATEAY.OB	Atea ASA
ATEPF.OB	Astra Exploration
ATEYY.OB	Advantest Corp ADR
ATGFF.OB	AltaGas Ltd
ATGN.OB	Altigen Communications Inc
ATHC.OB	Accelerated Technologies Holding
ATHOF.OB	Athabasca Oil Sands Corp
ATHX.OB	Athersys Inc
ATIG.OB	Atlantis Gaming Corp
ATIPW.OB	Ati Physical Therapy Inc
ATIXF.OB	Analytixinsight Inc
ATLCY.OB	Atlas Copco Ab Ser B ADR
ATLFF.OB	Atlas Copco Ab
ATLKY.OB	Atlas Copco Ab Ser A ADR
ATLMF.OB	Atalaya Mng Plc
ATLPF.OB	Atlas Copco Ab
ATMFF.OB	Atmofizer Technologies Inc
ATMGF.OB	Atco Mng Inc
ATMH.OB	All Things Mobile Analytic Inc
ATMMF.OB	Atomic Minerals Corp
ATMTF.OB	Andrada Mining Ltd
ATONY.OB	Anton Oilfield Services Group
ATOXF.OB	Durango Resources Inc
ATROB.OB	Astronics Corp
ATRWF.OB	Altius Renewable Royalties Corp
ATRX.OB	Adhera Therapeutics Inc
ATTOF.OB	Atento S.A.
ATUSF.OB	Altius Minerals Corp
ATUUF.OB	Tenaz Energy Corp
ATVDY.OB	Atresmedia Corporacion DE Medios DE Comunicacion
ATVK.OB	Ameritek Ventures
ATVVF.OB	Australian Vanadium Limited
ATWT.OB	Atwec Technologies Inc
ATYG.OB	Atlas Tech Group Inc
ATZAF.OB	Aritzia
AUCCF.OB	Europacific Metals Inc
AUCUF.OB	Inflection Resources Ltd
AUDA.OB	Audacy Inc
AUDGF.OB	Audinate Group Ltd
AUEEF.OB	Aura Energy Ltd
